run,n_phases,phases,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,specificity,youden_thresh,tp,fp,tn,fn,ece,n_test
ablation_all_8,8,C-pre|C+A|C+V|C+Delay|T2WI|DWI|InPhase|OutPhase,0.8382128762874946,0.7532620614035087,0.9140767676767676,0.8207710900713131,0.7146959547670391,0.9170613069031304,0.9107,0.7347,0.9014,51,13,36,5,0.2021,105
ablation_contrast_4phase,4,C-pre|C+A|C+V|C+Delay,0.8381720289458308,0.7610786217437533,0.9074074074074074,0.8602554077164755,0.7730045858940449,0.9294759044778611,0.8036,0.7347,0.6541,45,13,36,11,0.1188,105
per_phase_C_Delay,1,C+Delay,0.7871785468237089,0.6941138540899042,0.8676453687821611,0.7915390244224377,0.6770455244969008,0.8944287858835219,0.8393,0.6327,0.0911,47,18,31,9,0.3519,105
per_phase_InPhase,1,InPhase,0.7780740495506346,0.6853598435333729,0.8627361948704344,0.7816584311059921,0.6747811188469099,0.8833945137504507,0.875,0.5714,0.5184,49,21,28,7,0.1107,105
per_phase_C_V,1,C+V,0.7762317847354,0.6806858779393046,0.8645665210528655,0.7765381576314985,0.6587389589989636,0.8832396007780453,0.8571,0.6531,0.3795,48,17,32,8,0.1207,105
ablation_t2wi_dwi,2,T2WI|DWI,0.7215151857223359,0.6144149279682065,0.8256670911180982,0.7031746891090789,0.5817937543136937,0.8271158576247712,0.9286,0.551,0.3401,52,22,27,4,0.1784,105
per_phase_OutPhase,1,OutPhase,0.7069396558432894,0.5952660953800297,0.807063961988304,0.7006221322602841,0.5743495426149889,0.8279701525053564,0.8214,0.5918,0.4611,46,20,29,10,0.0934,105
ablation_pre_a,2,C-pre|C+A,0.7034155859521959,0.5972274172129524,0.7975332130216688,0.7435255923941797,0.6160662447704996,0.8486135143438555,0.5357,0.8367,0.7659,30,8,41,26,0.1619,105
per_phase_T2WI,1,T2WI,0.7008801404066357,0.588961510530138,0.8030727272727272,0.7113839158059366,0.5886765885163807,0.8287744603456842,0.9464,0.5102,0.1057,53,24,25,3,0.2137,105
per_phase_C_A,1,C+A,0.6732318939994996,0.564431936460625,0.7672518624447037,0.7051470655266603,0.5754518152032763,0.8252252147669665,0.6607,0.6735,0.4788,37,16,33,19,0.1359,105
per_phase_C_pre,1,C-pre,0.6687400422054284,0.5602942063752558,0.768703724652254,0.6842372892939589,0.5534484133491909,0.7985040262033938,0.9286,0.3878,0.4151,52,30,19,4,0.1791,105
per_phase_DWI,1,DWI,0.6290450126419467,0.5228613046095631,0.7361814157588411,0.6608933130603695,0.5383965981865279,0.7838049623622887,0.5893,0.6122,0.5614,33,19,30,23,0.0357,105
